"pga_tournament_id","pga_tournament_name","year","pga_course_name","dg_event_id","dg_event_name","dg_course_name","match_method"
"R2021534","Corales Puntacana Resort & Club Championship (2021)",2021,"Puntacana Resort & Club (Corales Golf Course)",534,"Corales Puntacana Resort & Club Championship #2","Corales Golf Club","partial_name_year"
"R2021041","Valero Texas Open",2021,"TPC San Antonio (Oaks Course)",41,"Valero Texas Open","TPC San Antonio (Oaks Course)","exact_name_year"
"R2021536","Masters Tournament (2021)",2021,"Augusta National Golf Club",NA,NA,NA,"unmatched"
"R2021012","RBC Heritage",2021,"Harbour Town Golf Links",12,"RBC Heritage","Harbour Town Golf Links","exact_name_year"
"R2021018","Zurich Classic of New Orleans",2021,"TPC Louisiana",NA,NA,NA,"unmatched"
"R2021475","Valspar Championship",2021,"Innisbrook Resort (Copperhead Course)",475,"Valspar Championship","Innisbrook Resort (Copperhead)","exact_name_year"
"R2021480","Wells Fargo Championship",2021,"Quail Hollow Club",480,"Wells Fargo Championship","Quail Hollow Club","exact_name_year"
"R2021019","AT&T Byron Nelson",2021,"TPC Craig Ranch",19,"AT&T Byron Nelson","TPC Craig Ranch","exact_name_year"
"R2021033","PGA Championship",2021,"Ocean Course at Kiawah Island",33,"PGA Championship","Ocean Course at Kiawah Island","exact_name_year"
"R2021021","Charles Schwab Challenge",2021,"Colonial Country Club",21,"Charles Schwab Challenge","Colonial Country Club","exact_name_year"
"R2021023","the Memorial Tournament presented by Nationwide",2021,"Muirfield Village Golf Club",23,"the Memorial Tournament presented by Nationwide","Muirfield Village Golf Club","exact_name_year"
"R2021538","Palmetto Championship at Congaree",2021,"Congaree Golf Club",538,"Palmetto Championship at Congaree","Congaree Golf Club","exact_name_year"
"R2021535","U.S. Open (2021)",2021,"Torrey Pines (South)",535,"U.S. Open #2","Torrey Pines (South)","partial_name_year"
"R2021034","Travelers Championship",2021,"TPC River Highlands",34,"Travelers Championship","TPC River Highlands","exact_name_year"
"R2021524","Rocket Mortgage Classic",2021,"Detroit Golf Club",524,"Rocket Mortgage Classic","Detroit Golf Club","exact_name_year"
"R2021030","John Deere Classic",2021,"TPC Deere Run",30,"John Deere Classic","TPC Deere Run","exact_name_year"
"R2021100","The Open Championship",2021,"Royal St. George's GC",100,"The Open Championship","Royal St. George's GC","exact_name_year"
"R2021518","Barbasol Championship",2021,"Keene Trace Golf Club (Champion Trace)",518,"Barbasol Championship","Keene Trace Golf Club","exact_name_year"
"R2021525","3M Open",2021,"TPC Twin Cities",525,"3M Open","TPC Twin Cities","exact_name_year"
"R2021519","Olympic Men's Golf Competition",2021,"Kasumigaseki Country Club",519,"Olympic Men's Golf Competition","Kasumigaseki Country Club","exact_name_year"
"R2021476","World Golf Championships-FedEx St. Jude Invitational",2021,"TPC Southwind",476,"World Golf Championships-FedEx St. Jude Invitational","TPC Southwind","exact_name_year"
"R2021472","Barracuda Championship",2021,"Tahoe Mountain Club (Old Greenwood)",472,"Barracuda Championship","Tahoe Mt. Club (Old Greenwood)","exact_name_year"
"R2021013","Wyndham Championship",2021,"Sedgefield Country Club",13,"Wyndham Championship","Sedgefield Country Club","exact_name_year"
"R2021027","THE NORTHERN TRUST",2021,"Liberty National Golf Club",27,"THE NORTHERN TRUST","Liberty National Golf Club","exact_name_year"
"R2021028","BMW Championship",2021,"Caves Valley Golf Club",28,"BMW Championship","Caves Valley Golf Club","exact_name_year"
"R2021060","TOUR Championship",2021,"East Lake Golf Club",60,"TOUR Championship","East Lake Golf Club","exact_name_year"
"R2022464","Fortinet Championship",2022,"Silverado Resort (North Course)",464,"Fortinet Championship","Silverado Resort and Spa (North Course)","exact_name_year"
"R2022468","Ryder Cup",2022,"Whistling Straits",NA,NA,NA,"unmatched"
"R2022054","Sanderson Farms Championship",2022,"The Country Club of Jackson",54,"Sanderson Farms Championship","The Country Club of Jackson","exact_name_year"
"R2022047","Shriners Children's Open",2022,"TPC Summerlin",47,"Shriners Children's Open","TPC Summerlin","exact_name_year"
"R2022521","THE CJ CUP @ SUMMIT",2022,"The Summit Club",NA,NA,NA,"unmatched"
"R2022527","ZOZO CHAMPIONSHIP",2022,"ACCORDIA GOLF Narashino Country Club",527,"ZOZO CHAMPIONSHIP","Accordia Golf Narashino Country Club","exact_name_year"
"R2022528","Butterfield Bermuda Championship",2022,"Port Royal Golf Course",528,"Butterfield Bermuda Championship","Port Royal Golf Course","exact_name_year"
"R2022457","World Wide Technology Championship at Mayakoba",2022,"El Camaleón Golf Course at Mayakoba",457,"World Wide Technology Championship at Mayakoba","El Camaleón Golf Course at Mayakoba","exact_name_year"
"R2022020","Hewlett Packard Enterprise Houston Open",2022,"Memorial Park Golf Course",NA,NA,NA,"unmatched"
"R2022493","The RSM Classic",2022,"Sea Island Golf Club (Seaside Course)",493,"The RSM Classic","Sea Island Golf Club (Seaside)","exact_name_year"
"R2022478","Hero World Challenge",2022,"Albany GC",478,"Hero World Challenge","Albany, Bahamas","exact_name_year"
"R2022058","QBE Shootout",2022,"Tiburón Golf Course",NA,NA,NA,"unmatched"
"R2022016","Sentry Tournament of Champions",2022,"Plantation Course at Kapalua",16,"Sentry Tournament of Champions","Plantation Course at Kapalua","exact_name_year"
"R2022006","Sony Open in Hawaii",2022,"Waialae Country Club",6,"Sony Open in Hawaii","Waialae Country Club","exact_name_year"
